ticker,instrument_type,asset_class,theme,underlying_index,issuer,leverage_multiplier,direction,is_inverse,is_daily_reset,is_leveraged,is_core_market_proxy,is_sector_proxy,is_thematic_proxy,selection_lane,max_shadow_weight,real_book_allowed,nisa_candidate_allowed,research_only,notes
QLD,LEVERAGED_LONG_ETF,ETF,NASDAQ,Nasdaq-100,ProShares,2,LONG,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LEVERAGED_LONG_LANE,0.05,FALSE,FALSE,TRUE,Daily-reset 2x long exposure.
TQQQ,LEVERAGED_LONG_ETF,ETF,NASDAQ,Nasdaq-100,ProShares,3,LONG,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LEVERAGED_LONG_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 3x long exposure.
QID,INVERSE_ETF,ETF,NASDAQ,Nasdaq-100,ProShares,-2,INVERSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,INVERSE_HEDGE_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 2x inverse exposure.
SQQQ,INVERSE_ETF,ETF,NASDAQ,Nasdaq-100,ProShares,-3,INVERSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,INVERSE_HEDGE_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 3x inverse exposure.
SSO,LEVERAGED_LONG_ETF,ETF,SP500,S&P 500,ProShares,2,LONG,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LEVERAGED_LONG_LANE,0.05,FALSE,FALSE,TRUE,Daily-reset 2x long exposure.
UPRO,LEVERAGED_LONG_ETF,ETF,SP500,S&P 500,ProShares,3,LONG,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LEVERAGED_LONG_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 3x long exposure.
SDS,INVERSE_ETF,ETF,SP500,S&P 500,ProShares,-2,INVERSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,INVERSE_HEDGE_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 2x inverse exposure.
SPXU,INVERSE_ETF,ETF,SP500,S&P 500,ProShares,-3,INVERSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,INVERSE_HEDGE_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 3x inverse exposure.
USD,LEVERAGED_LONG_ETF,ETF,SEMICONDUCTOR,Dow Jones U.S. Semiconductors Index,ProShares,2,LONG,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LEVERAGED_LONG_LANE,0.05,FALSE,FALSE,TRUE,Daily-reset 2x semiconductor exposure.
SOXL,LEVERAGED_LONG_ETF,ETF,SEMICONDUCTOR,NYSE Semiconductor Index,Direxion,3,LONG,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,LEVERAGED_LONG_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 3x semiconductor exposure.
SSG,INVERSE_ETF,ETF,SEMICONDUCTOR,Dow Jones U.S. Semiconductors Index,ProShares,-2,INVERSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,INVERSE_HEDGE_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 2x inverse semiconductor exposure.
SOXS,INVERSE_ETF,ETF,SEMICONDUCTOR,NYSE Semiconductor Index,Direxion,-3,INVERSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,INVERSE_HEDGE_LANE,0.025,FALSE,FALSE,TRUE,Daily-reset 3x inverse semiconductor exposure.
